id,sentimento_op30_tf_idf,sentimento_op30,palavras_op30,sentimento_sent_tf_idf,sentimento_sent,palavras_sent,palavras
189,0.07478494999878015,1,5,0,0,0,25
190,0,0,0,0,0,0,53
191,0.0019406619712422843,1,24,0.02483863346037867,1,8,112
192,-0.3080772826846704,-7,30,-0.2040105612395044,-5,5,102
193,-0.03469722641051745,1,48,-0.14671668251455647,-7,10,209
194,-0.05242618401909845,-1,81,-0.02330306591717376,-1,13,272
195,0.08942484398668629,2,6,0,0,0,62
196,0,0,0,0,0,0,70
197,0.17960418104329473,1,3,0,0,0,25
198,0,0,0,0,0,0,105
199,0.11475539930507789,26,100,-0.010962222997585928,0,29,521
200,0,0,0,0,0,0,74
201,0.09949676935005503,3,15,0.12498397050661549,2,8,84
202,-0.042543947909455156,-1,8,0.04632760568751365,0,3,81
203,-0.06413808913815673,-1,3,-0.03817941313115511,-1,1,45
204,-0.07886552776008246,-1,3,-0.07486650253238186,-2,2,50
205,0.08457469368050037,2,12,0.10260976043544759,1,4,63
206,0.017734262613690543,1,31,0.059280219744064486,3,9,193
207,0.09764420071063358,4,21,-0.10875250270118828,-6,5,115
208,0.06027366787477785,1,4,-0.2758123974216232,-2,2,21
209,0.023104906018664842,1,6,-0.1057280856782889,-2,3,52
210,-0.09821614359522945,0,10,-0.11361604361616336,-1,1,31
211,-0.042543947909455156,-1,8,0.04632760568751365,0,3,83
212,0.10469303599961449,2,8,-0.1547240278218862,-2,2,35
213,0.1377566083553799,2,7,0.07531788237299455,1,1,52
214,-0.029246854438348856,0,8,-0.09486751678689968,-3,4,75
215,-0.03609119400361836,0,8,0,0,0,35
216,0.0837914745312936,2,13,0.046327605687513665,1,4,88
217,-0.03190188439843766,0,3,0,0,0,19
218,-0.041117590946322245,-1,9,0.07210311090595901,0,4,51
219,0.03850407138384526,1,10,-0.09073431553486037,-2,2,41
220,-0.10349362028795452,-3,16,0.12821419068012987,4,4,134
221,0.2981428666511515,7,13,0.09491259879035817,3,4,91
222,0.06795012502784034,10,24,0.009036024181047271,-1,6,197
223,-0.33832067720655207,-1,7,0.09220720559601493,1,1,24
224,0,0,0,0,0,0,66
225,0.18814876030831962,2,7,0.14988635384041454,2,2,38
226,0.16535949564807098,2,2,0.13469560377255702,1,2,46
227,0.0064706199350233334,-1,8,0.05854850841775815,0,2,44
228,0.15446044582050134,8,35,0.08264706887803708,5,6,177
229,0,0,0,0,0,0,94
230,0.015934417943906785,0,8,0.07213587106425494,1,7,67
231,0.06613141515662134,1,2,0,0,0,52
232,0.10648766054758638,2,9,0,0,1,41
233,0.03384850913589063,2,15,-0.030925223225997767,-1,3,124
234,0.18057039867031494,4,15,0.0163093454249399,0,3,78
235,0.2513841282083591,3,5,0.1879694005642158,1,1,25
236,-0.49340598751221265,-3,2,0,0,0,22
237,0.028575166070681116,3,40,-0.0487462164736296,-3,8,262
238,0.002848506843913551,2,27,0.14578250446173827,5,7,148
239,-0.10730090595623887,-1,18,-0.15124316497922066,-6,4,122
240,0.049122055037294596,0,21,-0.02500982092179696,-1,8,133
241,0.01616125818949548,2,31,-0.07835831154162928,-4,7,153
242,0.11389533432013813,1,1,-0.0396386894976156,-1,1,37
243,0.07654899032865597,2,7,0.08383816941168037,1,1,40
244,-0.1246203640319205,-2,29,-0.008984377861126921,-1,7,144
245,-0.1323219315856546,-2,8,0.1483197839894765,4,2,85
246,0,0,0,0,0,0,15
